Member ID,Email Address,Website,Newsletter,Tasting,Call,Visits,Customer_Segment,Wealth Range Estimate,Status,Date
201600644,e.mcmahon@att.net,0,0,225.54,0,2,Casual Visitor,$100-200k,Continuing,10/13/19 1:52
201602335,tbla48@me.com,0,164.07,0,0,0,Luxury Estate,$800-1200k,Continuing,10/13/19 2:51
201400831,mbrown@att.net,0,0,750.47,0,4,Casual Visitor,$200-400k,Continuing,10/13/19 3:53
201600646,jass27@facebook.com,0,0,0,282.65,0,High Roller,$400-800k,Continuing,10/13/19 4:06
201601498,mueller4@juno.com,0,0,186.06,0,1,Casual Visitor,$100-200k,Continuing,10/13/19 5:21
201600383,mtan51@googlemail.com,,,197.09,0,,,$100-200k,Continuing,10/13/19 5:52
201601776,irmj73@googlemail.com,0,0,219.78,0,3,Casual Visitor,$200-400k,Continuing,10/13/19 6:30
201602898,cochranp@comcast.net,0,0,211.79,0,3,Casual Visitor,$200-400k,Continuing,10/13/19 8:51
201501407,jimenezm@gmail.com,0,0,0,390.12,0,High Roller,$400-800k,Continuing,10/13/19 9:21
201603324,mpineda8@msn.com,0,46.4,0,0,0,Luxury Estate,$800-1200k,Continuing,10/13/19 9:37
201500805,l.williams@cox.net,0,0,88.72,0,1,Casual Visitor,Below $100k,Continuing,10/13/19 9:44
201602094,grichardson3@bellsouth.net,0,0,78.58,0,3,Casual Visitor,$400-800k,Continuing,10/13/19 11:10
201603297,garcia9@gmx.com,0,0,24,0,4,Casual Visitor,$400-800k,Continuing,10/13/19 11:10
201600545,p.wright@facebook.com,0,35.16,56.92,0,4,Casual Visitor,$400-800k,Continuing,10/13/19 13:19
201500767,joas48@mac.com,0,0,318.51,0,1,Wine Enthusiast,$100-200k,Continuing,10/13/19 14:41
201500930,jpau91@verizon.net,0,0,80.54,0,2,Casual Visitor,$200-400k,Continuing,10/13/19 15:11
201602483,mflo28@bellsouth.net,0,0,207.11,0,2,Casual Visitor,$100-200k,Continuing,10/13/19 16:52
201601207,jenningsv@att.net,0,0,365.85,0,3,Casual Visitor,$400-800k,Continuing,10/13/19 17:42
201604067,simon6@charter.net,0,,,0,2,Casual Visitor,$200-400k,Continuing,10/13/19 19:22
201500141,m.brady@cox.net,0,0,112.4,0,1,Casual Visitor,Below $100k,Continuing,10/13/19 21:15
201501113,smithh@aol.com,0,0,417.14,0,3,Casual Visitor,$200-400k,Continuing,10/13/19 23:20
201501644,joeb64@comcast.net,0,0,0,422.15,0,High Roller,$400-800k,Continuing,10/13/19 23:42
201602411,stephens4@mac.com,0,43.82,680.94,0,4,Casual Visitor,$400-800k,Continuing,10/14/19 0:41
201603703,smith4@aol.com,0,0,298.37,0,2,Casual Visitor,$100-200k,Continuing,10/14/19 1:08
201500793,shartman3@charter.net,222.8,149.75,268.23,0,1,Wine Enthusiast,$200-400k,Continuing,10/14/19 2:00
201604123,d.reynolds@google.com,0,89.33,80.04,0,3,Casual Visitor,$200-400k,Continuing,10/14/19 4:11
201602454,d.hanson@bellsouth.net,0,0,94.8,0,1,Casual Visitor,Below $100k,Continuing,10/14/19 4:32
201400529,mark75@gmx.com,0,,,,4,Casual Visitor,$200-400k,Continuing,10/14/19 5:18
201502328,frenchp@bellsouth.net,0,0,349.4,0,2,Casual Visitor,$200-400k,Continuing,10/14/19 5:23
201601647,drog91@facebook.com,0,0,113.74,0,1,Wine Enthusiast,$200-400k,Continuing,10/14/19 7:15
201500128,kdavis3@gmx.com,0,0,133.73,0,1,Casual Visitor,Below $100k,Continuing,10/14/19 7:27
201500131,sbrock@live.com,0,0,37.94,0,2,Casual Visitor,$200-400k,Continuing,10/14/19 8:39
201602348,b.smith@charter.net,0,354.82,0,0,0,Luxury Estate,$400-800k,Continuing,10/14/19 9:06
201602909,lwilson7@google.com,0,141.3,0,0,0,Luxury Estate,$400-800k,Continuing,10/14/19 10:29
201502485,r.green@earthlink.net,0,0,277.18,0,3,Casual Visitor,$200-400k,Continuing,10/14/19 11:52
201500028,jacg67@juno.com,0,249.61,0,0,0,Luxury Estate,$800-1200k,Continuing,10/14/19 14:06
201600674,lngu99@google.com,0,0,302.65,0,2,Casual Visitor,$200-400k,Continuing,10/14/19 15:26
201600531,icooper@bellsouth.net,0,0,0,651.31,0,High Roller,$400-800k,Continuing,10/14/19 15:52
201501637,doyled@me.com,0,0,316.09,0,2,Casual Visitor,$200-400k,Continuing,10/14/19 16:36
201602380,estesr@earthlink.net,0,0,0,260.83,0,High Roller,$400-800k,Continuing,10/14/19 16:55
201601638,bhil88@earthlink.net,0,41.1,736.56,0,4,Casual Visitor,$400-800k,Continuing,10/14/19 16:58
201400517,smithm@cox.net,0,0,26.97,0,2,Casual Visitor,$100-200k,Continuing,10/14/19 18:25
201602279,msanchez@cox.net,0,0,59.49,0,1,Wine Enthusiast,$100-200k,Continuing,10/14/19 20:00
201400154,t.mayer@bellsouth.net,133.57,0,106.87,0,3,Casual Visitor,$400-800k,Continuing,10/14/19 21:46
201600747,lmoo31@msn.com,0,0,0,422.76,0,High Roller,$400-800k,Continuing,10/14/19 21:53
201600285,agnc62@earthlink.net,97.45,430.39,208.21,125.68,2,Luxury Estate,$400-800k,Continuing,10/14/19 23:50
201500801,twri14@comcast.net,0,0,292.89,0,1,Wine Enthusiast,$200-400k,Continuing,10/15/19 0:26
201603951,nhenry@hotmail.com,0,327.61,0,0,0,Luxury Estate,$800-1200k,Continuing,10/15/19 0:40
201603805,m.cabrera@facebook.com,0,0,298.27,0,2,Casual Visitor,$200-400k,Continuing,10/15/19 2:41
201603850,njon13@verizon.net,0,254.29,0,0,0,Luxury Estate,$800-1200k,Continuing,10/15/19 4:47
201501151,freg77@bellsouth.net,0,0,24,0,1,Casual Visitor,Below $100k,Continuing,10/15/19 6:00
201501986,r.lozano@comcast.net,0,0,383.4,0,3,Casual Visitor,$200-400k,Continuing,10/15/19 6:30
201600510,campbell7@comcast.net,0,763.82,0,0,0,Luxury Estate,$1200-1800k,Continuing,10/15/19 10:01
201501385,ksullivan@yahoo.com,0,0,214.77,0,2,Casual Visitor,$100-200k,Continuing,10/15/19 10:10
201600724,rmartinez@me.com,0,0,0,472.68,0,High Roller,$400-800k,Continuing,10/15/19 10:47
201600130,luit98@juno.com,0,0,164.18,0,1,Casual Visitor,$100-200k,Continuing,10/15/19 11:16
201601644,amyw20@live.com,0,0,324.26,0,2,Wine Enthusiast,$200-400k,Continuing,10/15/19 13:27
201400789,k.frey@google.com,0,83.73,475.95,0,4,Casual Visitor,$400-800k,Continuing,10/15/19 14:12
201501086,cjackson@cox.net,0,0,24,0,2,Casual Visitor,$200-400k,Continuing,10/15/19 20:06
201502205,fullere@bellsouth.net,0,0,521.47,0,3,Casual Visitor,$200-400k,Continuing,10/15/19 20:32
201502263,jlee35@mail.com,0,0,104.39,0,1,Casual Visitor,$100-200k,Continuing,10/15/19 21:26
201603629,holmes6@cox.net,0,0,40.76,0,1,Casual Visitor,Below $100k,Continuing,10/15/19 22:09
201602306,jrod99@aol.com,0,0,275.36,0,2,Casual Visitor,$200-400k,Continuing,10/15/19 22:44
201603971,aguz9@charter.net,0,163,0,0,0,Luxury Estate,$800-1200k,Continuing,10/15/19 23:00
201602351,brownm@juno.com,0,0,512.08,0,3,Casual Visitor,$200-400k,Continuing,10/16/19 0:16
201602318,joyp35@cox.net,0,0,267.64,0,2,Casual Visitor,$200-400k,Continuing,10/16/19 1:34
201601698,lguzman1@gmail.com,0,162.88,0,0,0,Luxury Estate,$400-800k,Continuing,10/16/19 2:02
201500461,b.sutton@yahoo.com,0,0,66.59,0,1,Casual Visitor,$100-200k,Continuing,10/16/19 3:28
201502326,w.choi@charter.net,0,0,446.36,0,3,Casual Visitor,$200-400k,Continuing,10/16/19 8:42
201603591,r.williams@live.com,0,0,87.23,0,2,Casual Visitor,$200-400k,Continuing,10/16/19 10:17
201603551,jcal36@bellsouth.net,0,0,266.55,0,1,Wine Enthusiast,$100-200k,Continuing,10/16/19 10:25
201602855,crobinson1@live.com,0,0,323.17,0,2,Casual Visitor,$100-200k,Continuing,10/16/19 11:14
201603943,wjordan@live.com,0,0,216.44,0,2,Casual Visitor,$100-200k,Continuing,10/16/19 11:30
201601605,andersonc@mail.com,0,0,191.4,0,1,Casual Visitor,Below $100k,Continuing,10/16/19 12:20
201501269,jblack@gmail.com,0,467.72,0,0,0,Luxury Estate,$800-1200k,Continuing,10/16/19 14:32
201601047,gonzalesb@yahoo.com,0,603.9,0,0,0,Luxury Estate,$1200-1800k,Continuing,10/16/19 15:56
201603849,henry5@gmx.com,229.34,355.11,170.71,316,2,Luxury Estate,Above $1800k,Continuing,10/16/19 19:14
201603531,rthomas@aol.com,0,0,89.7,0,1,Casual Visitor,$100-200k,Continuing,10/16/19 21:39
201502376,ster92@sbcglobal.net,413.49,0,123.73,0,1,Wine Enthusiast,$200-400k,Continuing,10/16/19 22:54
201501790,mfernandez@mac.com,0,0,324.07,0,2,Casual Visitor,$100-200k,Continuing,10/17/19 0:40
201603003,carpenter2@hotmail.com,0,0,116.26,0,2,Casual Visitor,$100-200k,Continuing,10/17/19 3:01
201601232,jbrown@mail.com,0,0,285.87,0,3,Casual Visitor,$200-400k,Continuing,10/17/19 7:30
201502372,lins69@me.com,0,0,115.17,0,4,Casual Visitor,$200-400k,Continuing,10/17/19 8:47
201602391,harrism@me.com,0,97.24,716.27,0,4,Casual Visitor,$400-800k,Continuing,10/17/19 8:47
201603616,sana82@bellsouth.net,0,438.62,0,0,0,Luxury Estate,$800-1200k,Continuing,10/17/19 9:39
