Member ID,Status,Email Address,Tasting Room Visited,Customer_Segment,Year Discontinued,LTV at Discontinuance,Wealth Range Estimate,Reason for Leaving
201400082,Discontinued,donj81@google.com,No,Wine Enthusiast,2016,832.36,$1200-1800k,Not enough selection
201400181,Discontinued,cgarza6@cox.net,Yes,Casual Visitor,2016,444.55,$200-400k,Not enough selection
201400213,Discontinued,gnov29@me.com,No,Wine Enthusiast,2016,780.92,$1200-1800k,Not enough selection
201400214,Discontinued,cedr43@cox.net,Yes,Casual Visitor,,,$400-800k,Not enough selection
201400215,Discontinued,dgross@googlemail.com,No,Wine Enthusiast,,1381.42,$200-400k,Not enough selection
201400222,Discontinued,cannonb@cox.net,Yes,Casual Visitor,,1000.46,$400-800k,
201400241,Discontinued,nanc55@comcast.net,Yes,Casual Visitor,2016,787.36,$200-400k,Not enough selection
201400242,Discontinued,donk80@earthlink.net,No,Wine Enthusiast,2016,2585.19,$800-1200k,Not enough selection
201400248,Discontinued,ljackson@yahoo.com,No,Wine Enthusiast,2014,803.48,$200-400k,
201400056,Discontinued,d.collins@gmx.com,Yes,Casual Visitor,2016,,$100-200k,Poor service
201400070,Discontinued,ramirezk@verizon.net,Yes,Casual Visitor,2015,216.11,$200-400k,
201400074,Discontinued,shep94@mac.com,No,Wine Enthusiast,2015,803.6,$200-400k,
201400197,Discontinued,mtaylor@aol.com,Yes,Casual Visitor,2016,559.07,$100-200k,Poor service
201400223,Discontinued,dwhite8@gmx.com,Yes,Casual Visitor,2016,1517.01,$200-400k,Poor service
201400228,Discontinued,jbradford9@juno.com,Yes,Casual Visitor,2016,527.16,$100-200k,Poor service
201400024,Discontinued,mwade@me.com,Yes,Casual Visitor,2014,,$200-400k,Prices too high
201400025,Discontinued,a.diaz@msn.com,Yes,Casual Visitor,2016,197.65,Below $100k,Prices too high
201400048,Discontinued,jreynolds6@hotmail.com,No,High Roller,2016,574.75,$400-800k,Prices too high
201400064,Discontinued,rwallace@comcast.net,Yes,Casual Visitor,2016,281.67,$200-400k,Prices too high
201400065,Discontinued,hwol35@facebook.com,Yes,Casual Visitor,2016,138.46,$100-200k,
201400076,Discontinued,donc19@mail.com,No,High Roller,2016,5162.21,$400-800k,Prices too high
201400087,Discontinued,eforbes5@live.com,Yes,Casual Visitor,2015,,$200-400k,Prices too high
201400123,Discontinued,k.manning@charter.net,Yes,Casual Visitor,,120.75,$200-400k,Prices too high
201400131,Discontinued,ajen24@cox.net,Yes,Casual Visitor,,425.19,$100-200k,Prices too high
201400205,Discontinued,aguilarc@live.com,Yes,Casual Visitor,2016,170.67,Below $100k,
201400221,Discontinued,kwolf1@facebook.com,Yes,Casual Visitor,2016,744.03,Below $100k,
201400243,Discontinued,rblevins@comcast.net,Yes,Casual Visitor,2016,,$200-400k,
201400265,Discontinued,merh75@juno.com,No,Wine Enthusiast,2015,16347.96,Above $1800k,Prices too high
201400006,Discontinued,cmathis7@aol.com,Yes,Wine Enthusiast,2014,943.65,$200-400k,Staff not knowledgable
201400008,Discontinued,harh13@comcast.net,Yes,Wine Enthusiast,2016,2634.67,$400-800k,Staff not knowledgable
201400016,Discontinued,craigd@cox.net,No,Wine Enthusiast,2016,,$800-1200k,
201400053,Discontinued,k.nash@msn.com,Yes,Casual Visitor,2016,50.3,Below $100k,
201400100,Discontinued,j.mooney@bellsouth.net,No,Wine Enthusiast,2016,880.51,$200-400k,Staff not knowledgable
201400103,Discontinued,martinez6@google.com,No,Wine Enthusiast,2016,860.51,$200-400k,Staff not knowledgable
201400112,Discontinued,gentry5@msn.com,No,Wine Enthusiast,2016,14758.89,Above $1800k,Staff not knowledgable
201400116,Discontinued,rodriguezb@bellsouth.net,No,Wine Enthusiast,2016,666.63,$1200-1800k,Staff not knowledgable
201400152,Discontinued,twilliams@gmx.com,Yes,Casual Visitor,2014,264.37,Below $100k,Staff not knowledgable
201400157,Discontinued,graham5@earthlink.net,Yes,Wine Enthusiast,2016,665.08,$1200-1800k,
201400172,Discontinued,klop75@hotmail.com,No,Wine Enthusiast,2015,685.41,$200-400k,Staff not knowledgable
201400173,Discontinued,donm13@aol.com,No,Wine Enthusiast,2015,814.7,$200-400k,Staff not knowledgable
201400178,Discontinued,gfletcher@bellsouth.net,No,Wine Enthusiast,2014,1943.16,$400-800k,Staff not knowledgable
201400193,Discontinued,r.cabrera@googlemail.com,Yes,Casual Visitor,2016,96.9,$200-400k,Staff not knowledgable
201400200,Discontinued,welch7@charter.net,No,Wine Enthusiast,2015,809.52,$200-400k,Staff not knowledgable
201400210,Discontinued,tsmith@comcast.net,No,Wine Enthusiast,2016,1819.75,$200-400k,Staff not knowledgable
201400225,Discontinued,juny80@juno.com,Yes,Wine Enthusiast,2016,1532.29,$200-400k,Staff not knowledgable
201400239,Discontinued,aweb78@googlemail.com,No,Wine Enthusiast,2016,171.41,$100-200k,Staff not knowledgable
201400148,Discontinued,barr5@bellsouth.net,Yes,Casual Visitor,2016,348.84,$200-400k,Wine quality
201400156,Discontinued,vmoore@google.com,Yes,Casual Visitor,2016,163.44,$100-200k,
201400176,Discontinued,leob74@verizon.net,Yes,Casual Visitor,2015,305.84,$200-400k,
201400256,Discontinued,parker2@bellsouth.net,Yes,Casual Visitor,2016,126.97,$100-200k,
