Member ID,Status,Email Address,Tasting Room Visited,Customer_Segment,Year Discontinued,LTV at Discontinuance,Wealth Range Estimate,Reason for Leaving
201400006,Discontinued,cmathis7@aol.com,Yes,Wine Enthusiast,2014,943.65,$200-400k,Staff not knowledgable
201400008,Discontinued,harh13@comcast.net,Yes,Wine Enthusiast,2016,2634.67,$400-800k,Staff not knowledgable
201400016,Discontinued,craigd@cox.net,No,Wine Enthusiast,2016,2918.09,$800-1200k,Staff not knowledgable
201400024,Discontinued,mwade@me.com,Yes,Casual Visitor,2014,153.21,$200-400k,Prices too high
201400025,Discontinued,a.diaz@msn.com,Yes,Casual Visitor,2016,197.65,Below $100k,Prices too high
201400048,Discontinued,jreynolds6@hotmail.com,No,High Roller,2016,574.75,$400-800k,Prices too high
201400053,Discontinued,k.nash@msn.com,Yes,Casual Visitor,2016,50.3,Below $100k,Staff not knowledgable
201400056,Discontinued,d.collins@gmx.com,Yes,Casual Visitor,2016,417.36,$100-200k,Poor service
201400064,Discontinued,rwallace@comcast.net,Yes,Casual Visitor,2016,281.67,$200-400k,Prices too high
201400065,Discontinued,hwol35@facebook.com,Yes,Casual Visitor,2016,138.46,$100-200k,Prices too high
201400070,Discontinued,ramirezk@verizon.net,Yes,Casual Visitor,2015,216.11,$200-400k,Poor service
201400074,Discontinued,shep94@mac.com,No,Wine Enthusiast,2015,803.6,$200-400k,Poor service
201400076,Discontinued,donc19@mail.com,No,High Roller,2016,5162.21,$400-800k,Prices too high
201400082,Discontinued,donj81@google.com,No,Wine Enthusiast,2016,832.36,$1200-1800k,Not enough selection
201400087,Discontinued,eforbes5@live.com,Yes,Casual Visitor,2015,162.86,$200-400k,Prices too high
201400100,Discontinued,j.mooney@bellsouth.net,No,Wine Enthusiast,2016,880.51,$200-400k,Staff not knowledgable
201400103,Discontinued,martinez6@google.com,No,Wine Enthusiast,2016,860.51,$200-400k,Staff not knowledgable
201400112,Discontinued,gentry5@msn.com,No,Wine Enthusiast,2016,14758.89,Above $1800k,Staff not knowledgable
201400116,Discontinued,rodriguezb@bellsouth.net,No,Wine Enthusiast,2016,666.63,$1200-1800k,Staff not knowledgable
201400123,Discontinued,k.manning@charter.net,Yes,Casual Visitor,2016,120.75,$200-400k,Prices too high
201400131,Discontinued,ajen24@cox.net,Yes,Casual Visitor,2016,425.19,$100-200k,Prices too high
201400148,Discontinued,barr5@bellsouth.net,Yes,Casual Visitor,2016,348.84,$200-400k,Wine quality
201400152,Discontinued,twilliams@gmx.com,Yes,Casual Visitor,2014,264.37,Below $100k,Staff not knowledgable
201400156,Discontinued,vmoore@google.com,Yes,Casual Visitor,2016,163.44,$100-200k,
201400157,Discontinued,graham5@earthlink.net,Yes,Wine Enthusiast,2016,665.08,$1200-1800k,Staff not knowledgable
201400172,Discontinued,klop75@hotmail.com,No,Wine Enthusiast,2015,685.41,$200-400k,Staff not knowledgable
