,Email Address,Website,Newsletter,Tasting,Call,Visits,Customer_Segment,Wealth Range Estimate,Status,Date,CS_Index,Marketing,new_column,Tasting Per Visit,Wealth Label,Casual Visitor,High Roller,Luxury Estate,Wine Enthusiast
0,wpet15@googlemail.com,0.0,79.26,257.91,0.0,4.0,Casual Visitor,$400-800k,1,1/1/20 1:12,1.0,Email,1,64.48,3,1,0,0,0
1,brooksb@charter.net,0.0,0.0,173.68,0.0,1.0,Casual Visitor,Below $100k,1,1/1/20 3:20,1.0,Email,1,173.68,6,1,0,0,0
2,smarsh@me.com,0.0,0.0,201.12,0.0,1.0,Casual Visitor,$100-200k,1,1/1/20 4:35,1.0,Email,1,201.12,0,1,0,0,0
3,v.daniels@sbcglobal.net,0.0,383.51,0.0,0.0,0.0,Luxury Estate,$800-1200k,1,1/1/20 7:11,3.0,Concierge,1,,4,0,0,1,0
4,elsv34@comcast.net,0.0,0.0,62.37,0.0,2.0,Casual Visitor,$200-400k,1,1/1/20 7:12,1.0,Email,1,31.18,2,1,0,0,0
5,micm81@bellsouth.net,0.0,0.0,162.36,0.0,4.0,Casual Visitor,$400-800k,1,1/1/20 8:20,1.0,Email,1,40.59,3,1,0,0,0
6,ramseye@comcast.net,0.0,333.77,0.0,0.0,0.0,Luxury Estate,$800-1200k,1,1/1/20 8:44,3.0,Concierge,1,,4,0,0,1,0
7,k.ferguson@sbcglobal.net,0.0,0.0,47.63,0.0,3.0,Casual Visitor,$200-400k,1,1/1/20 8:48,1.0,Email,1,15.88,2,1,0,0,0
8,agates7@juno.com,0.0,0.0,299.82,0.0,2.0,Casual Visitor,$200-400k,1,1/1/20 9:37,1.0,Email,1,149.91,2,1,0,0,0
9,kfisher@att.net,121.54,0.0,287.33,0.0,4.0,Casual Visitor,$400-800k,1,1/1/20 10:09,1.0,Email,1,71.83,3,1,0,0,0
10,cbright8@googlemail.com,0.0,0.0,97.9,0.0,2.0,Casual Visitor,$200-400k,1,1/1/20 13:53,1.0,Email,1,48.95,2,1,0,0,0
11,jjohnson6@charter.net,0.0,0.0,120.25,0.0,1.0,Casual Visitor,$100-200k,1,1/1/20 16:16,1.0,Email,1,120.25,0,1,0,0,0
12,wdean3@gmail.com,0.0,0.0,115.46,0.0,1.0,Casual Visitor,Below $100k,1,1/1/20 18:23,1.0,Email,1,115.46,6,1,0,0,0
13,ronr43@sbcglobal.net,446.6,0.0,119.03,0.0,1.0,Wine Enthusiast,$100-200k,1,1/1/20 19:24,4.0,Email,1,119.03,0,0,0,0,1
14,j.ortega@earthlink.net,184.62,0.0,0.0,0.0,0.0,Wine Enthusiast,$100-200k,1,1/1/20 19:35,4.0,Email,1,,0,0,0,0,1
15,curtisj@mail.com,0.0,0.0,0.0,166.71,0.0,High Roller,$400-800k,1,1/1/20 21:14,2.0,Concierge,1,,3,0,1,0,0
16,jlynn1@me.com,0.0,0.0,453.94,0.0,3.0,Casual Visitor,$200-400k,1,1/1/20 21:31,1.0,Email,1,151.31,2,1,0,0,0
17,king3@mail.com,0.0,0.0,54.93,0.0,1.0,Casual Visitor,$100-200k,1,1/1/20 21:43,1.0,Email,1,54.93,0,1,0,0,0
18,garcher6@charter.net,0.0,94.98,0.0,0.0,0.0,Luxury Estate,$800-1200k,1,1/1/20 22:31,3.0,Concierge,1,,4,0,0,1,0
19,jmor5@gmail.com,0.0,25.83,215.16,0.0,3.0,Casual Visitor,$200-400k,1,1/1/20 22:56,1.0,Email,1,71.72,2,1,0,0,0
